Date,Day Type
1/01/2023,Public Holiday
2/01/2023,Public Holiday
3/01/2023,School Holiday Weekday
4/01/2023,School Holiday Weekday
5/01/2023,School Holiday Weekday
6/01/2023,School Holiday Weekday
7/01/2023,Saturday
8/01/2023,Sunday
9/01/2023,School Holiday Weekday
10/01/2023,School Holiday Weekday
11/01/2023,School Holiday Weekday
12/01/2023,School Holiday Weekday
13/01/2023,School Holiday Weekday
14/01/2023,Saturday
15/01/2023,Sunday
16/01/2023,School Holiday Weekday
17/01/2023,School Holiday Weekday
18/01/2023,School Holiday Weekday
19/01/2023,School Holiday Weekday
20/01/2023,School Holiday Weekday
21/01/2023,Saturday
22/01/2023,Sunday
23/01/2023,School Holiday Weekday
24/01/2023,School Holiday Weekday
25/01/2023,School Holiday Weekday
26/01/2023,Public Holiday
27/01/2023,School Holiday Weekday
28/01/2023,Saturday
29/01/2023,Sunday
30/01/2023,Normal Weekday
31/01/2023,Normal Weekday
1/02/2023,Normal Weekday
2/02/2023,Normal Weekday
3/02/2023,Normal Weekday
4/02/2023,Saturday
5/02/2023,Sunday
6/02/2023,Normal Weekday
7/02/2023,Normal Weekday
8/02/2023,Normal Weekday
9/02/2023,Normal Weekday
10/02/2023,Normal Weekday
11/02/2023,Saturday
12/02/2023,Sunday
13/02/2023,Normal Weekday
14/02/2023,Normal Weekday
15/02/2023,Normal Weekday
16/02/2023,Normal Weekday
17/02/2023,Normal Weekday
18/02/2023,Saturday
19/02/2023,Sunday
20/02/2023,Normal Weekday
21/02/2023,Normal Weekday
22/02/2023,Normal Weekday
23/02/2023,Normal Weekday
24/02/2023,Normal Weekday
25/02/2023,Saturday
26/02/2023,Sunday
27/02/2023,Normal Weekday
28/02/2023,Normal Weekday
1/03/2023,Normal Weekday
2/03/2023,Normal Weekday
3/03/2023,Normal Weekday
4/03/2023,Saturday
5/03/2023,Sunday
6/03/2023,Normal Weekday
7/03/2023,Normal Weekday
8/03/2023,Normal Weekday
9/03/2023,Normal Weekday
10/03/2023,Normal Weekday
11/03/2023,Saturday
12/03/2023,Sunday
13/03/2023,Public Holiday
14/03/2023,Normal Weekday
15/03/2023,Normal Weekday
16/03/2023,Normal Weekday
17/03/2023,Normal Weekday
18/03/2023,Saturday
19/03/2023,Sunday
20/03/2023,Normal Weekday
21/03/2023,Normal Weekday
22/03/2023,Normal Weekday
23/03/2023,Normal Weekday
24/03/2023,Normal Weekday
25/03/2023,Saturday
26/03/2023,Sunday
27/03/2023,Normal Weekday
28/03/2023,Normal Weekday
29/03/2023,Normal Weekday
30/03/2023,Normal Weekday
31/03/2023,Normal Weekday
1/04/2023,Saturday
2/04/2023,Sunday
3/04/2023,Normal Weekday
4/04/2023,Normal Weekday
5/04/2023,Normal Weekday
6/04/2023,Normal Weekday
7/04/2023,Public Holiday
8/04/2023,Public Holiday
9/04/2023,Public Holiday
10/04/2023,Public Holiday
11/04/2023,School Holiday Weekday
12/04/2023,School Holiday Weekday
13/04/2023,School Holiday Weekday
14/04/2023,School Holiday Weekday
15/04/2023,Saturday
16/04/2023,Sunday
17/04/2023,School Holiday Weekday
18/04/2023,School Holiday Weekday
19/04/2023,School Holiday Weekday
20/04/2023,School Holiday Weekday
21/04/2023,School Holiday Weekday
22/04/2023,Saturday
23/04/2023,Sunday
24/04/2023,Normal Weekday
25/04/2023,Public Holiday
26/04/2023,Normal Weekday
27/04/2023,Normal Weekday
28/04/2023,Normal Weekday
29/04/2023,Saturday
30/04/2023,Sunday
1/05/2023,Normal Weekday
2/05/2023,Normal Weekday
3/05/2023,Normal Weekday
4/05/2023,Normal Weekday
5/05/2023,Normal Weekday
6/05/2023,Saturday
7/05/2023,Sunday
8/05/2023,Normal Weekday
9/05/2023,Normal Weekday
10/05/2023,Normal Weekday
11/05/2023,Normal Weekday
12/05/2023,Normal Weekday
13/05/2023,Saturday
14/05/2023,Sunday
15/05/2023,Normal Weekday
16/05/2023,Normal Weekday
17/05/2023,Normal Weekday
18/05/2023,Normal Weekday
19/05/2023,Normal Weekday
20/05/2023,Saturday
21/05/2023,Sunday
22/05/2023,Normal Weekday
23/05/2023,Normal Weekday
24/05/2023,Normal Weekday
25/05/2023,Normal Weekday
26/05/2023,Normal Weekday
27/05/2023,Saturday
28/05/2023,Sunday
29/05/2023,Normal Weekday
30/05/2023,Normal Weekday
31/05/2023,Normal Weekday
1/06/2023,Normal Weekday
2/06/2023,Normal Weekday
3/06/2023,Saturday
4/06/2023,Sunday
5/06/2023,Normal Weekday
6/06/2023,Normal Weekday
7/06/2023,Normal Weekday
8/06/2023,Normal Weekday
9/06/2023,Normal Weekday
10/06/2023,Saturday
11/06/2023,Sunday
12/06/2023,Public Holiday
13/06/2023,Normal Weekday
14/06/2023,Normal Weekday
15/06/2023,Normal Weekday
16/06/2023,Normal Weekday
17/06/2023,Saturday
18/06/2023,Sunday
19/06/2023,Normal Weekday
20/06/2023,Normal Weekday
21/06/2023,Normal Weekday
22/06/2023,Normal Weekday
23/06/2023,Normal Weekday
24/06/2023,Saturday
25/06/2023,Sunday
26/06/2023,School Holiday Weekday
27/06/2023,School Holiday Weekday
28/06/2023,School Holiday Weekday
29/06/2023,School Holiday Weekday
30/06/2023,School Holiday Weekday
